Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Zygarde (50% Forme),79.6,718,dragon,ground,112.3,131.3,135,1991298,16.5,1496,Dragon Tail,Crunch,Earthquake,5,8,20,100000
Lileep,79.5,345,rock,grass,100.8,138.6,151,2111110,50,1460,Bullet Seed,Grass Knot,Ancient Power,4,4,3,50000
Malamar,79.5,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psycho Cut,Superpower,Foul Play,5,5,3,50000
Zebstrika (Shadow),79.5,523,electric,none,137.7,95.5,123,1617244,23,1496,Spark,Wild Charge,Flame Charge,6,7,3,50000
Granbull (Shadow),79.4,210,fairy,none,135.3,87.7,139,1650182,22,1494,Charm,Close Combat,Crunch,8,8,3,50000
Forretress (Shadow),79.3,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Gallade,79.3,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Druddigon,79.2,621,dragon,none,131.4,110.5,117,1699459,20,1498,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Greedent,79.2,820,normal,none,107.5,110.7,175,2083197,23.5,1498,Bullet Seed,Body Slam,Crunch,3,4,1,10000
Ivysaur,79.2,2,grass,poison,118.6,121.7,130,1876886,36.5,1493,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Magnezone,79.2,462,electric,steel,134.9,120.1,102,1652719,17,1496,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Tangrowth,79.2,465,grass,none,121.8,112,135,1842421,18.5,1498,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Tangrowth (Shadow),79.2,465,grass,none,121.8,112,135,1842421,18.5,1498,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Donphan (Shadow),79.1,232,ground,none,125.8,112,126,1776372,18.5,1500,Counter,Body Slam,Earthquake,5,10,3,50000
Genesect,79.1,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal),9,14,20,100000
Victreebel (Shadow),79.1,71,grass,poison,135.8,94.8,128,1648364,23,1500,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Barbaracle,79,689,rock,water,120.4,133.1,115,1841752,20.5,1492,Fury Cutter,Stone Edge,Cross Chop,14,9,3,50000
Gardevoir (Shadow),79,282,psychic,fairy,137.2,114.5,104,1633015,18,1498,Charm,Synchronoise,Shadow Ball,9,10,5,75000
Gourgeist (Super),79,711,ghost,grass,115.8,128.8,130,1939976,21.5,1499,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Qwilfish,79,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Sludge Wave,4,8,3,50000
Raichu,79,26,electric,none,133.6,110.6,113,1669771,25.5,1495,Volt Switch,Wild Charge,Thunder Punch,3,3,1,10000
Raticate (Alolan) (Shadow),79,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Regice (Shadow),79,378,ice,none,103.7,180.2,115,2149641,18,1497,Lock On,Blizzard,Earthquake,15,13,20,100000
Grovyle,78.9,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Quick Attack,Leaf Blade,Aerial Ace,5,6,3,10000
Hypno,78.9,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Shadow Ball,Thunder Punch,5,4,3,50000
Latios (Shadow),78.9,381,dragon,psychic,138.4,112.9,103,1609480,14.5,1497,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Skuntank (Shadow),78.9,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Flamethrower,7,8,3,50000
Sudowoodo (Shadow),78.9,185,rock,none,117.2,130.1,125,1905357,26,1496,Counter,Rock Slide,Meteor Beam,7,9,5,75000
Gourgeist (Large),78.8,711,ghost,grass,116.6,136.9,121,1930877,22.5,1500,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Melmetal,78.8,809,steel,none,121.5,107.8,141,1846977,15.5,1500,Thunder Shock,Superpower,Rock Slide,5,5,20,100000
Servine,78.8,496,grass,none,107.2,137.4,142,2092314,49.5,1500,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Slurpuff,78.8,685,fairy,none,117.4,118.1,138,1912211,25.5,1499,Charm,Flamethrower,Energy Ball,10,10,3,50000
Amaura,78.7,698,rock,ice,114.3,104.2,164,1952869,50,1497,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Grimer (Alolan),78.7,88,poison,dark,123.6,86,171,1818779,49,1500,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Grovyle (Shadow),78.7,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Bullet Seed,Leaf Blade,Aerial Ace,3,4,3,10000
Seaking,78.7,119,water,none,123.1,105.9,140,1825075,26.5,1500,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Gengar,78.6,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Ball,Shadow Punch,7,5,3,50000
Beedrill,78.5,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Grimer,78.5,88,poison,none,121.5,88,171,1827419,49.5,1493,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Grimer (Alolan) (Shadow),78.5,88,poison,dark,123.6,86,171,1818779,49,1500,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Magnemite (Shadow),78.5,81,electric,steel,148.7,113.4,89,1501640,50,1495,Thunder Shock,Magnet Bomb,Discharge,5,5,3,50000
Pinsir,78.5,127,bug,none,141.3,111.5,101,1591266,18.5,1500,Fury Cutter,Close Combat,X-Scissor,12,9,5,75000
Raichu (Alolan),78.5,26,electric,psychic,136.2,111.7,108,1643875,24.5,1499,Volt Switch,Wild Charge,Grass Knot,3,4,1,10000
Slowbro (Galarian),78.5,80,poison,psychic,119.1,108.4,145,1871629,22.5,1493,Poison Jab,Surf,Psychic,6,8,3,50000
Aromatisse,78.4,683,fairy,none,116.5,108,153,1924550,24,1497,Charm,Moonblast,Thunderbolt,10,10,3,50000
Gloom (Shadow),78.4,44,grass,poison,122.6,114.9,130,1830873,37.5,1500,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Leafeon,78.4,470,grass,none,128.1,133.3,102,1742118,18.5,1496,Quick Attack,Leaf Blade,Last Resort,5,7,5,75000
Linoone,78.4,264,normal,none,114.6,112.2,152,1953755,39,1497,Shadow Claw,Grass Knot,Thunder,7,8,1,10000
Muk (Alolan) (Shadow),78.4,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Skuntank,78.4,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Electivire (Shadow),78.3,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Relicanth,78.3,369,water,rock,105.2,137.5,147,2126096,22.5,1498,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Electivire,78.2,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Mamoswine,78.1,473,ice,ground,136.2,87.4,137,1630185,16.5,1491,Powder Snow,Avalanche,High Horsepower,6,8,3,50000
Talonflame,78.1,663,fire,flying,122.1,114.7,131,1834291,25.5,1499,Incinerate,Brave Bird,Flame Charge,3,3,1,10000
Tyrunt,78.1,696,rock,dragon,127.6,106.3,129,1749486,39.5,1499,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Dusclops,78,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Poltergeist,4,7,3,50000
Fraxure,78,611,dragon,none,145.5,89.3,119,1545235,24.5,1499,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Marowak (Alolan),78,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Probopass (Shadow),78,476,rock,steel,96.8,200,119,2305422,28,1497,Spark,Rock Slide,Zap Cannon,6,10,3,50000
Castform (Sunny),77.9,351,fire,none,113.4,119.6,146,1979669,38.5,1499,Ember,Weather Ball (Fire),Solar Beam,6,14,5,75000
Donphan,77.9,232,ground,none,125.8,112,126,1776372,18.5,1500,Counter,Body Slam,Earthquake,5,10,3,50000
Drifblim (Shadow),77.9,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Hydreigon,77.9,635,dark,dragon,136.6,103.5,116,1639587,15,1499,Dragon Breath,Brutal Swing,Flash Cannon,14,24,5,75000
Muk (Shadow),77.9,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Articuno,77.8,144,ice,flying,113.2,143.6,122,1983584,18.5,1500,Ice Shard,Icy Wind,Ancient Power,5,5,20,100000
Chansey,77.8,113,normal,none,63,120.2,421,3188219,50,1418,Zen Headbutt,Psychic,Hyper Beam,10,14,5,75000
Drifblim,77.8,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Florges,77.8,671,fairy,none,120.1,142.1,109,1859855,17,1494,Fairy Wind,Disarming Voice,Psychic,5,7,3,50000
Poliwhirl (Shadow),77.8,61,water,none,115.1,114.3,148,1947108,50,1500,Mud Shot,Scald,Mud Bomb,6,5,3,50000
Ariados,77.7,168,bug,poison,124.7,102,141,1793573,34,1497,Poison Sting,Cross Poison,Megahorn,4,7,1,10000
Spritzee,77.7,682,fairy,none,105,107.6,168,1898008,50,1415,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
Bayleef,77.6,153,grass,none,105.6,141.6,141,2107468,49.5,1494,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Lycanroc (Midnight),77.6,745,rock,none,134.3,101,123,1668138,20.5,1498,Counter,Stone Edge,Psychic Fangs,8,5,5,50000
Magmar (Shadow),77.6,126,fire,none,136.6,107.5,112,1645117,23.5,1499,Karate Chop,Fire Punch,Flamethrower,5,7,5,75000
Rayquaza,77.6,384,dragon,flying,146.5,92,113,1522152,14,1496,Dragon Tail,Breaking Swipe,Dragon Ascent,4,8,20,100000
Sylveon,77.6,700,fairy,none,118.9,121.2,131,1888899,18.5,1498,Charm,Moonblast,Psyshock,10,8,5,75000
Gallade (Shadow),77.5,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Hitmonlee,77.5,106,fighting,none,142.5,121.4,91,1573887,21.5,1497,Double Kick,Close Combat,Stone Edge,4,5,5,75000
Vileplume (Shadow),77.5,45,grass,poison,129.1,110.9,121,1732053,22,1498,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Wailmer,77.5,320,water,none,117.4,68.3,239,1916533,48.5,1500,Water Gun,Body Slam,Heavy Slam,12,17,1,10000
Bonsly,77.4,438,rock,none,116.8,124.4,127,1844799,50,1472,Counter,Rock Slide,Earthquake,7,10,5,10000
Charjabug,77.4,737,bug,electric,116.1,132.4,126,1936447,38,1500,Spark,X-Scissor,Discharge,5,6,1,10000
Haunter,77.4,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Shadow Punch,Shadow Ball,5,7,3,50000
Honchkrow,77.4,430,dark,flying,150.6,68.3,145,1492462,20.5,1500,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Spinda,77.4,327,normal,none,110.1,110.1,142,1720678,50,1380,Psycho Cut,Icy Wind,Rock Tomb,5,7,3,50000
Gourgeist (Average),77.3,711,ghost,grass,116.6,147,112,1919131,23.5,1500,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Poliwhirl,77.3,61,water,none,115.1,114.3,148,1947108,50,1500,Mud Shot,Scald,Mud Bomb,6,5,3,50000
Slowbro,77.3,80,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Ice Beam,14,19,3,50000
Wailmer (Shadow),77.3,320,water,none,117.4,68.3,239,1916533,48.5,1500,Water Gun,Body Slam,Heavy Slam,12,17,1,10000
Celesteela,77.2,797,steel,flying,119.6,119,131,1864503,18,1495,Smack Down,Body Slam,Iron Head,5,7,20,100000
Gourgeist (Small),77.2,711,ghost,grass,117,153.4,106,1903085,24.5,1495,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Grotle (Shadow),77.2,388,grass,none,118.3,116.1,138,1895093,30.5,1497,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Slowking,77.2,199,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Psychic,14,19,3,50000
Magneton,77.1,82,electric,steel,144.7,112.8,95,1550755,22,1500,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Avalugg,77,713,ice,none,112.9,142.5,124,1994682,17.5,1500,Ice Fang,Avalanche,Body Slam,9,7,3,50000
Gastrodon,77,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,5,7,3,50000
Dusclops (Shadow),76.9,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Poltergeist,4,7,3,50000
Vaporeon,76.9,134,water,none,119,97.2,163,1886587,17.5,1499,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Grotle,76.8,388,grass,none,118.3,116.1,138,1895093,30.5,1497,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Latios,76.8,381,dragon,psychic,138.4,112.9,103,1609480,14.5,1497,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Muk,76.8,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Hitmonlee (Shadow),76.7,106,fighting,none,142.5,121.4,91,1573887,21.5,1497,Double Kick,Close Combat,Stone Edge,4,5,5,75000
Rufflet,76.7,627,normal,flying,126.3,91.1,153,1759870,46,1492,Wing Attack,Brave Bird,Aerial Ace,7,6,5,75000
Farfetch'd,76.5,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,50000
Graveler (Alolan),76.5,75,rock,electric,123.4,124.9,118,1819319,30.5,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Graveler (Alolan) (Shadow),76.5,75,rock,electric,123.4,124.9,118,1819319,30.5,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Muk (Alolan),76.5,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Slowking (Shadow),76.5,199,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Psychic,14,19,3,50000
Articuno (Shadow),76.4,144,ice,flying,113.2,143.6,122,1983584,18.5,1500,Ice Shard,Icy Wind,Ancient Power,5,5,20,100000
Luxio (Shadow),76.4,404,electric,none,134.1,91.1,137,1672950,47.5,1500,Spark,Wild Charge,Crunch,6,6,5,75000
Magnemite,76.4,81,electric,steel,148.7,113.4,89,1501640,50,1495,Thunder Shock,Magnet Bomb,Discharge,5,5,3,50000
Tirtouga,76.3,564,water,rock,113.9,132,130,1955087,47,1494,Water Gun,Surf,Body Slam,14,12,5,75000
Dugtrio,76.2,51,ground,none,136.4,120.5,99,1627049,41.5,1495,Mud Shot,Mud Bomb,Stone Edge,5,7,3,50000
Luxio,76.2,404,electric,none,134.1,91.1,137,1672950,47.5,1500,Spark,Wild Charge,Crunch,6,6,5,75000
Lugia,76.1,249,psychic,flying,102.4,165,129,2181164,15,1496,Dragon Tail,Sky Attack,Aeroblast,5,9,20,100000
Mamoswine (Shadow),76.1,473,ice,ground,136.2,87.4,137,1630185,16.5,1491,Powder Snow,Avalanche,High Horsepower,6,8,3,50000
Honchkrow (Shadow),76,430,dark,flying,150.6,68.3,145,1492462,20.5,1500,Snarl,Brave Bird,Sky Attack,5,4,3,50000
Hypno (Shadow),76,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Thunder Punch,Fire Punch,4,4,3,50000
Jirachi,76,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Psychic,4,5,20,100000
Nidorina (Shadow),76,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Sludge Bomb,5,6,3,50000
Scizor (Shadow),76,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,Night Slash,Iron Head,5,8,5,75000
Slowbro (Shadow),76,80,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Ice Beam,14,19,3,50000
Golem (Alolan),75.9,76,rock,electric,125.2,121.7,117,1782513,19,1497,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Ivysaur (Shadow),75.9,2,grass,poison,118.6,121.7,130,1876886,36.5,1493,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Torterra (Shadow),75.9,389,grass,ground,120.5,117.6,131,1857185,19,1496,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Turtonator,75.9,776,fire,dragon,114.2,153,112,1956666,25,1496,Incinerate,Dragon Pulse,Overheat,3,3,5,75000
Wobbuffet (Shadow),75.9,202,psychic,none,63,101.7,333,2133829,50,1160,Counter,Mirror Coat,Frustration,8,10,3,50000
Castform,75.8,351,normal,none,113.4,119.6,146,1979669,38.5,1499,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Girafarig,75.8,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Double Kick,Psychic Fangs,Psychic,3,5,3,50000
Golduck (Shadow),75.8,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Salazzle,75.8,758,poison,fire,146.6,90.9,114,1518532,22,1492,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Feraligatr (Shadow),75.7,160,water,none,123.3,118,124,1803586,19.5,1493,Waterfall,Hydro Cannon,Crunch,5,6,3,10000
Rapidash (Galarian),75.7,78,psychic,fairy,134.7,110.9,111,1658326,22,1498,Fairy Wind,Body Slam,Play Rough,4,7,3,50000
Wormadam (Trash),75.7,413,bug,steel,105.2,150.9,134,2126928,42.5,1500,Confusion,Bug Buzz,Iron Head,5,5,1,10000
Magmortar (Shadow),75.6,467,fire,none,141.4,103.4,108,1578615,17.5,1500,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Primarina,75.6,730,water,fairy,131.9,116.8,110,1694382,17.5,1499,Charm,Disarming Voice,Psychic,8,10,3,10000
Sandslash,75.5,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Mud Shot,Night Slash,Earthquake,4,8,3,50000
Tentacruel,75.5,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Poison Jab,Acid Spray,Scald,7,8,3,50000
Golduck,75.4,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Granbull,75.4,210,fairy,none,135.3,87.7,139,1650182,22,1494,Charm,Close Combat,Crunch,8,8,3,50000
Vullaby,75.4,629,dark,flying,100.8,129.4,157,2048662,50,1437,Air Slash,Brave Bird,Foul Play,7,5,5,75000
Bibarel,75.3,400,normal,water,124.2,97.7,149,1807978,30.5,1499,Water Gun,Surf,Hyper Fang,14,17,1,10000
Floette,75.3,670,fairy,none,114.3,133.7,128,1955261,44,1499,Vine Whip,Psychic,Dazzling Gleam,7,9,3,50000
Gurdurr,75.3,533,fighting,none,124.8,99.8,143,1781718,25.5,1491,Poison Jab,Brick Break,Stone Edge,5,8,5,75000
Conkeldurr,75.2,534,fighting,none,134.6,93.3,132,1657948,16.5,1495,Counter,Dynamic Punch,Stone Edge,8,8,5,75000
Golem (Alolan) (Shadow),75.2,76,rock,electric,125.2,121.7,117,1782513,19,1497,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Sandshrew (Alolan),75.2,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Bronzong,74.9,437,steel,psychic,111.3,151.8,119,2010401,25.5,1498,Confusion,Psyshock,Payback,4,5,3,50000
Bruxish,74.9,779,water,psychic,137.3,100.4,118,1626064,23.5,1497,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Litleo,74.9,667,fire,normal,121.1,106.1,143,1837354,49,1495,Incinerate,Flame Charge,Crunch,3,3,3,10000
Sandshrew (Alolan) (Shadow),74.9,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Carnivine,74.8,455,grass,none,130.2,101.2,130,1712621,25.5,1498,Vine Whip,Power Whip,Crunch,7,6,5,75000
Wailord,74.8,321,water,none,119.6,66.8,235,1876670,25,1500,Water Gun,Surf,Blizzard,14,25,1,10000
Victreebel,74.7,71,grass,poison,135.8,94.8,128,1648364,23,1500,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Electabuzz (Shadow),74.6,125,electric,none,130.9,112.6,115,1694299,24,1490,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Glalie,74.6,362,ice,none,115.2,120.1,140,1937229,27,1498,Ice Shard,Avalanche,Shadow Ball,5,6,3,50000
Leavanny,74.6,542,bug,grass,131,109,120,1713215,22,1499,Razor Leaf,Leaf Blade,X-Scissor,9,9,1,10000
Linoone (Galarian),74.6,264,dark,normal,114.6,112.2,152,1953755,39,1497,Snarl,Body Slam,Gunk Shot,3,6,1,10000
Ampharos (Shadow),74.5,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Brutal Swing,Focus Blast,3,5,5,75000
Gloom,74.5,44,grass,poison,122.6,114.9,130,1830873,37.5,1500,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Togekiss,74.5,468,fairy,flying,124.8,125.3,114,1783452,16.5,1495,Charm,Ancient Power,Aura Sphere,8,10,3,50000
Bibarel (Shadow),74.4,400,normal,water,124.2,97.7,149,1807978,30.5,1499,Water Gun,Surf,Hyper Fang,14,17,1,10000
Scizor,74.4,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,X-Scissor,Iron Head,5,8,5,75000
Seismitoad,74.4,537,water,ground,120.3,101.5,152,1856073,22,1498,Mud Shot,Earth Power,Sludge Bomb,7,6,3,50000
Shelgon,74.4,372,dragon,none,123.3,118.4,123,1795453,27.5,1493,Dragon Breath,Flamethrower,Twister,19,15,5,75000
Mewtwo (Shadow),74.3,150,psychic,none,148.4,94.4,108,1512714,13,1500,Psycho Cut,Psystrike,Thunderbolt,5,7,20,100000
Roserade,74.2,407,grass,poison,143.1,114.9,95,1561844,18.5,1497,Bullet Seed,Weather Ball (Fire),Leaf Storm,3,5,3,50000
Gardevoir,74.1,282,psychic,fairy,137.2,114.5,104,1633015,18,1498,Charm,Synchronoise,Shadow Ball,9,10,5,75000
Gyarados (Shadow),74.1,130,water,flying,130.8,108,121,1708726,16.5,1498,Waterfall,Aqua Tail,Crunch,5,6,1,10000
Milotic,74.1,350,water,none,113.2,132.2,132,1974479,18.5,1495,Dragon Tail,Surf,Blizzard,5,9,5,75000
Sandslash (Shadow),74.1,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Mud Shot,Night Slash,Earthquake,4,8,3,50000
Electrode (Shadow),74,101,electric,none,123.1,127.2,116,1816610,26.5,1496,Volt Switch,Discharge,Foul Play,3,3,3,50000
Feraligatr,74,160,water,none,123.3,118,124,1803586,19.5,1493,Waterfall,Hydro Cannon,Crunch,5,6,3,10000
Kartana,74,798,grass,steel,170.7,98.8,78,1316087,15,1500,Razor Leaf,Leaf Blade,Night Slash,9,9,20,100000
Omastar (Shadow),74,139,rock,water,126.1,128.4,109,1764728,20,1493,Mud Shot,Rock Slide,Hydro Pump,5,9,5,75000
Staravia,74,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Aerial Ace,7,6,1,10000
Carracosta,73.9,565,water,rock,121.8,127.9,118,1839109,21,1497,Water Gun,Surf,Body Slam,14,12,5,75000
Ledian,73.9,166,bug,flying,101.9,161.2,134,2201440,49,1500,Bug Bite,Dynamic Punch,Aerial Ace,17,15,1,10000
Pumpkaboo (Super),73.9,710,ghost,grass,111.8,113.4,141,1787612,50,1414,Razor Leaf,Grass Knot,Foul Play,13,12,5,75000
Wailord (Shadow),73.9,321,water,none,119.6,66.8,235,1876670,25,1500,Water Gun,Surf,Blizzard,14,25,1,10000
Durant,73.8,632,bug,steel,135.9,121.2,100,1647192,21,1499,Bug Bite,X-Scissor,Stone Edge,12,19,3,50000
Palossand,73.8,770,ghost,ground,116.6,120.4,136,1909914,23,1494,Mud Shot,Shadow Ball,Earth Power,7,7,3,50000
Palpitoad,73.8,536,water,ground,116.6,101.6,162,1919059,48.5,1497,Mud Shot,Earth Power,Sludge Wave,7,8,3,50000
Dewott,73.7,502,water,none,124.2,98.6,147,1800321,33.5,1498,Fury Cutter,Aqua Tail,X-Scissor,9,9,3,10000
Kricketune,73.7,402,bug,none,127.7,88,155,1742826,38,1492,Fury Cutter,X-Scissor,Bug Buzz,9,15,1,10000
Lopunny,73.7,428,normal,none,112.1,146.4,121,1985734,27.5,1493,Double Kick,Fire Punch,Focus Blast,4,7,3,50000
Ludicolo,73.7,272,water,grass,117.1,123.7,132,1912593,24,1497,Bubble,Ice Beam,Leaf Storm,5,5,3,50000
Typhlosion,73.7,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Solar Beam,3,4,3,10000
Decidueye,73.6,724,grass,ghost,127.8,115.3,118,1739336,20,1492,Leafage,Brave Bird,Shadow Sneak,8,7,3,10000
Staravia (Shadow),73.6,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Aerial Ace,7,6,1,10000
Gyarados,73.5,130,water,flying,130.8,108,121,1708726,16.5,1498,Waterfall,Aqua Tail,Crunch,5,6,1,10000
Klefki,73.5,707,steel,fairy,119,134.2,118,1884790,29.5,1499,Tackle,Foul Play,Play Rough,15,20,3,50000
Machop,73.5,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Return,5,9,3,50000
Magcargo,73.5,219,fire,rock,110.2,157.9,116,2017737,36.5,1492,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Eelektross,73.4,604,electric,none,134.4,98,127,1672478,20,1500,Spark,Dragon Claw,Thunderbolt,5,7,1,10000
Marowak (Shadow),73.4,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Rock Slide,Bone Club,6,5,3,50000
Minun,73.4,312,electric,none,116.8,126.8,129,1909761,37,1493,Spark,Thunderbolt,Grass Knot,7,7,3,50000
Oranguru,73.4,765,normal,psychic,110.9,131.2,139,2021720,22.5,1499,Confusion,Foul Play,Future Sight,4,6,3,75000
Ampharos,73.3,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Brutal Swing,Focus Blast,3,5,5,75000
Cherrim (Sunshine),73.3,421,grass,none,122.9,115.2,129,1826290,27,1498,Bullet Seed,Weather Ball (Fire),Solar Beam,3,7,1,10000
Mawile,73.3,303,steel,fairy,125.9,121.2,117,1784529,38.5,1500,Fire Fang,Power-Up Punch,Play Rough,7,12,5,75000
Omastar,73.3,139,rock,water,126.1,128.4,109,1764728,20,1493,Mud Shot,Rock Slide,Hydro Pump,5,9,5,75000
